Vechicle Name,Model,Buy_Year,Price,Engine_CC,No_of_owners,KM runs,City,State,Vehicle_Type
Royal ,Royal Enfield Thunderbird 350,2019,120000,340.0,Single,32000,Chennai,Tamil Nadu,Manual_Vehicle
Royal ,Royal Enfield Thunderbird TwinSpark 350,2009,80000,340.0,Single,34700,Banashankari,Karnataka,Manual_Vehicle
Bajaj ,Bajaj Pulsar NS 125,2025,80000,125.0,Single,2100,Faridabad,Haryana,Manual_Vehicle
Hero ,Hero Electric Photon,2022,80000,105.0,Single,23000,Pharenda,Uttar Pradesh,Manual_Vehicle
Ola ,Ola S1 Pro,2022,80000,,Single,24000,Thumkunta,Telangana,Electrical_Vehicle
Honda ,Honda XBlade BS6,2020,79000,110.0,Single,24000,Ameerpet,Telangana,Manual_Vehicle
Bajaj ,Bajaj Discover 150 S,2012,20000,150.0,Single,50000,Marathahalli,Karnataka,Manual_Vehicle
Aprilia ,Aprilia SR 160 Carbon ABS,2020,40000,160.0,Single,61500,Telangana,Telangana,Manual_Vehicle
Suzuki ,Suzuki Access 125,2023,90000,110.0,Single,10935,Bangalore,Karnataka,Manual_Vehicle
Hero ,Hero Duet 110,2016,43500,105.0,Single,12000,Bangalore,Karnataka,Manual_Vehicle
Hero ,Hero Xpulse 200 4V,2022,120000,105.0,Single,13787,Hyderabad,Telangana,Manual_Vehicle
Aprilia ,Aprilia SXR 160,2020,45000,160.0,Single,35000,Andheri East,Maharashtra,Manual_Vehicle
Bajaj ,Bajaj Pulsar N160 Dual Channel ABS,2024,100000,160.0,Single,13450,Bhilwara,Rajasthan,Manual_Vehicle
Suzuki ,Suzuki Gixxer SF BS6,2025,60000,110.0,Single,3600,Bhilwara,Rajasthan,Manual_Vehicle
Hero ,Hero Glamour Xtec,2022,60000,105.0,Single,25600,North 24 Parganas,West Bengal,Manual_Vehicle
Harley ,Harley Davidson Fat Bob,2018,1200000,440.0,Single,14000,Gurgaon,Haryana,Manual_Vehicle
Royal ,Royal Enfield Bullet Machismo A350,2004,90000,340.0,Multiple,70000,Bangalore,Karnataka,Manual_Vehicle
Ather ,Ather 450X,2022,110000,450.0,Single,25453,Bangalore,Karnataka,Manual_Vehicle
Keeway ,Keeway SR 125,2024,95000,125.0,Single,9000,Kalyan,Maharashtra,Manual_Vehicle
Yamaha ,Yamaha FZ-S,2019,70000,200.0,Single,30000,Wakad,Maharashtra,Manual_Vehicle
Bajaj ,Bajaj Pulsar 150 BS6,2022,85000,150.0,Single,22000,Hyderabad,Telangana,Manual_Vehicle
Royal ,Royal Enfield Bullet Standard 500,2015,100000,340.0,Single,24170,Vadodara,Gujarat,Manual_Vehicle
Revolt ,Revolt RV 400,2020,70000,400.0,Multiple,49000,New Delhi,Delhi,Manual_Vehicle
Royal ,Royal Enfield Interceptor 650 Twin,2021,250000,340.0,Single,7500,Ahmedabad,Gujarat,Manual_Vehicle
Suzuki ,Suzuki Lets 110,2018,40000,110.0,Single,49000,Gurgaon,Haryana,Manual_Vehicle
Honda ,Honda CB Shine,2018,40000,110.0,Single,42000,Bharuch,Gujarat,Manual_Vehicle
